URL,Title,Address,Description,Compensation,Employment Type
https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineer/6910378124.html,Mechanical Engineer, (Brooklyn),"National recognized high end manufacturer of luxury bath fittings,faucets,shower heads and accessories seeks a mechanical engineer.

Candidate must have strong skills with Solidworks.   Position entails interaction with manufacturing and product design.

A minimum of 2 years experience required.

Excellent opportunity for fast growth and  full benefit package.","$60,000",full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-full-time-junior-architect/6909768429.html,FULL TIME JUNIOR ARCHITECT, (Upper West Side),"A growing New York City based, boutique architectural & interior design firm seeks to hire a full time Junior Architect to work on multiple high-end residential projects. The applicants must have related experience for the Junior Architect's position in New York City with knowledge of residential detailing, shop drawings and superior AutoCAD skills. The qualified candidates will need to be enthusiastic, hard working, well-organized and highly motivated w/excellent verbal and written communications skills.

Candidates will work from company's office with the firm's principal and team to produce highly detailed designs, construction documents and manage all aspects of architectural projects during construction. Supervision available to assist w/completion of NCARB Intern Development Program.

Only those with an architectural degree and with experience in high-end residential construction and detailing will be considered. In addition, experience with interior design and furnishings, a good knowledge of fine fabrics and furniture and first hand experience with D&D Building & NYC area vendors is a bonus, but not required.",Salary Commensurate w/Experience,full-time
https://newyork.craigslist.org/brk/egr/d/professional-wanted/6898337711.html,Professional wanted, (NYC),Looking for design professionals within the architectural and engineering industry for the purpose of navigating drawings and plans from concept to realization for review and filing with municipal agencies,Per Project Basis.,contract
https://newyork.craigslist.org/brk/egr/d/brooklyn-expeditor-project-manager/6909570602.html,Expeditor/Project Manager, (Brooklyn),"Job Description

Reporting to the Architect/Owner responsible for:
Managing architectural and construction projects from pre-filing to sign-off. Coordinate and manage required items list and squad leaders list at Manhattan Borough office.
Work directly with clients to expedite general filings, corrections, submissions, payments, etc.
Manage DOB HUB and DOBNOW filings
Filing work permits and Processing Temporary Certificates of Occupancy applications. Manage and Track Temporary Elevator sign-offs for Temporary Certificates of Occupancy.
Manage and updated 18 Month Construction inspections sign-offs
Coordinating the payment at the the Department of Buildings
Regularly work with other city agencies to process various documents related to construction projects in the five boroughs.
Interact effectively with city agency officials and company clients.

Requirements:

Associates Degree, Architecture or Engineering preferred but not required.
High level of organization, planning, prioritization and attention to detail.

Salary:
$45,000.00-$50,000.00

Benefits:
Paid Vacation
Paid Sick/Personal Days
401k and Company match
Unlimited Metro card

Job Type: Full-time",Salary and Benifits,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-looking-for-architect-dob/6898679911.html,Looking for Architect / DOB Expert, (williamsburg Brooklyn),"We are looking for an ambitious individual who can handle a busy fast paced but exciting architecture and expediting work environment. 

Requisite skills and experience required include excellent work ethic organized, driven and dedicated, good communication skills, have a firm understanding in architecture and drafting,  general knowledge of Department of buildings procedure as well as NYC Zoning and building code.

We have exciting new projects coming up and we need an enthusiastic and committed individual who can help our team excel to even greater heights 

please check out our website before sending resume www.approvall.nyc",depending in the experience,full-time
https://newyork.craigslist.org/que/egr/d/oakland-gardens-autocad-drafter/6898611855.html,Autocad Drafter, (Bayside),"- Full time position
- Proficient in AutoCAD drafting system
- Layout and coordinate MEP systems
- Some knowledge of Plumbing, Sprinkler or  HVAC systems, willing to train

Skills needed:
- Literate in Autocad, Adobe, Microsoft, Excel and Word
- Fluent in English and Mandarin (a plus)
- Strong verbal and written communication skills
- Ability to work under minimal supervision, dependable and self-motivated

Compensation: Negotiable (depending on experience) 

Email resume with resume included in body of the email (No attachments will be downloaded)",Negotiable (depending on experience),full-time
https://newyork.craigslist.org/mnh/egr/d/intermediate-designer/6899085584.html,Intermediate Designer, (Flatiron),"Intermediate Designer 

Nelligan White Architects PLLC is seeking to hire intermediate designers with 3-5 years experience. This is an opportunity to be involved in all aspects of the work, including all phases of our projects. An interest in the challenging public-sector work is highly desirable.

Ideal applicants will demonstrate the following attributes:

- Highly motivated
- The ability to work independently and as part of a team
- Exemplary verbal and written communication
- Previous work experience with all phases of design and construction administration
- Be a conceptual thinker with strong technical skills (design and drawing)
- Experience providing detailed construction documents is desirable
- The ability to work efficiently in a fast-paced environment
- Has completed or is interested in completing IDP


Located in the heart of the Flatiron District, Nelligan White Architects is a 25-person firm with diverse clients and committed coworkers. Our talented staff is dedicated to producing high-caliber work in both the public and private sectors.

Nelligan White offers a competitive salary and excellent benefits package. Interested candidates must email a cover letter, resume, and work samples as one PDF. Please reference CI-09 at top of your cover letter. No phone calls please.",Compensation based on experience.,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-residential-interior/6896923471.html,Residential Interior Designer+Project Manager, (Midtown East),"Residential Interior Designer+Project Manager- NYC Co-op, Condo and house Renovations

The job requires proficiency in either SketchUp, Autocad, 20/20 or other design software. An essential component of the job will be excellent and frequent communication with the client, The ideal candidate will know how to maintain good rapport with clients and be experienced enough to trouble-shoot and resolve problems quickly.

Design sales work will include meeting our clients at their home/apartment and subsequently, designing, writing work scopes, meeting and guiding clients through product selections at our and other product showrooms. Creating products lists. Ongoing support. After that, project management work will include scheduling, daily site visits, coordinating and supervising trades and product deliveries, client interactions, timely completions. You'll be running the project.

Hours include some evening and weekend appointments.

Real opportunities for advancement!
We are growing fast and are have a great location.


Compensation: High commission based and paid as a steady weekly income-10% of entire project on projects up to 70K, potential bonuses, phone reimbursement, $200 monthly general reimbursement.

employment type: full-time

Small, reputable midtown Manhattan-based residential interior remodeling firm is looking for professional, personable Designer/Project Managers with a minimum of 8 years in residential renovation/interior design AND at least 5 years of project management experience. We are looking for Designer-project Managers who can design, sell and manage full individual Co-op and Condo apartment/house interior and kitchen/bath renovation projects. Min 5 years on-site field experience, including at least 12 projects in Manhattan or other major city and able to supervise the trades in the field. Prefer NYC resident or within 45 minutes commute.

Our projects range in price from 40k to 600k+.

We make it much easier for homeowners to have work done. We design the rooms, shop with clients for the products, order and then renovate complete apartment and house interiors, kitchens and bathrooms for individual owners of coops, condo apartments and townhouses in the mid-to-high end range.",Weekly high paying commission-per each active project. Range from 55k to 90k,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-landscape-designer/6899122263.html,Senior Landscape Designer/Architect, (Gowanus),"VERDANT is looking to add a Senior Landscape Designer/Architect to our eclectic team of Designers, Horticulturists and Installers.

The ideal candidate has 5-7 years of high-end residential experience as project leader, is comfortable in a variety of project frameworks and has excellent client management and communication skills with extensive technical and plant knowledge.
The new team member should be self-motivated, have a passion for what she/he does and be able to deal with the day to day demands of each project without little guidance. 

We are looking for somebody with a strong and positive presence that is able to guide and direct team members and has an ambition for creative growth and an interest in leading the company to the next level.

Experience and skills needed:
•    BA in Landscape Architecture or related field
•    5+ years strong design and project management experience, from broad conceptualization through construction documentation and administration.
•    Managed a minimum of 8 built projects requiring multi-disciplinary collaboration and coordination, (including architects, building boards, structural engineers, technical consultants)
•    Understanding of projects costs, budgets and contracts
•    Ability to work independently with little to no guidance
•    Extensive client interaction as project manager, ability to manage their expectation, fulfill deliverables and project schedules
•    Strong understanding of typical building techniques in an urban framework
•    Strong horticultural knowledge demonstrated through both design and built work
•    Knowledge of DOB, Landmarks Preservation and Building board submissions
•    Extensive working knowledge of AutoCAD R2015, Sketch-up, Photoshop, In-Design, Illustrator; Rhino, 3D Max a plus but not essential
• Sense of Humor
• Valid work permit

Please send resume, portfolio and cover letter to info@verdantgardens.com

For more information about us, please visit : www.verdantny.com
No phone calls please! No recruiters please!",Commensurate with experience,full-time
https://newyork.craigslist.org/brk/egr/d/brooklyn-landscape-designer-2-3-years/6899125415.html,Landscape Designer (2-3 years Experience), (Brooklyn),"VERDANT is looking for a Landscape Architect/Designer with high-end residential project experience in NYC to join our talented and dynamic team. 

The ideal candidate has 2-3 years of professional experience, possesses outstanding verbal, written and graphic communication skills, a positive attitude and a passion for landscape design within the design build framework.

Project experiences will be diverse as we work at many different scales and locations, ranging from roof top terraces, townhouses, to larger landscapes outside the city.

We are passionate about what we do each day and appreciate a good sense of humor in an exciting, at times, fast-paced industry.

Who:

- Landscape architects/Designers with experience in high-end residential Landscape Design
- Architects with crossover experience in Landscape Design or Architects who have started the transition into the Landscape Design field
- Designers who have Design as well as Build experience


Experience and skills needed:

• 2+ years Landscape Design and project management experience, from broad conceptualization through construction documentation and administration.
• Completed a minimum of 2 built projects requiring multi-disciplinary collaboration and coordination, (including architects, building boards, structural engineers, technical consultants)
• Ability to work independently with little supervision
• Experienced with client interaction
• Knowledge of typical building techniques in the Landscape Design framework
• Hands-on, technical knowledge highly desired
• Basic horticultural knowledge
• Knowledge of DOB, Landmarks Preservation and Building board submissions
• Working knowledge of AutoCAD R2015, Sketch-up, Photoshop, In-Design, Illustrator; Rhino, 3D Max a plus but not essential
• Valid work permit (we don't sponsor!)

Please send resume, portfolio and cover letter to info@verdantgardens(dot)com

For more information about us, please visit : www.verdantny.com
No phone calls please! No recruiters please!",Commensurate with experience,full-time
https://newyork.craigslist.org/que/egr/d/new-york-city-construction-clerk/6899236427.html,Construction Clerk/Project Manager M/F, (Queens NY),"Construction Clerk/Project Manager M/F

NYC based mid-size Construction firm seeks self-motivated energetic individual with some Project Management experience to join our team. 
We are willing to train and assist the right candidate.

Duties will Include: Preparing detailed take-offs and estimates, analyzing architectural drawings, developing scope of work, preparing formal proposals, attend meetings and walk through’s, solicit bids from subcontractors and vendors, manage projects, cost control, submittals and scheduling. 

Candidate should have some basic knowledge of computer programs especially Excel, Word. MS Project a plus. Possess communication skills with an eye for detail.

• Preference of (3+) years of construction experience working in a small/medium sized Construction Company but not a must.
• Good oral and written communication skills required. 
• Adept multi-tasker with the ability to meet demanding deadlines 
• Energetic, personable, and self-motivated with a results-oriented approach
Please submit your resume with salary requirements.",BOE,full-time
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/6899489556.html,Cad Drafter - Architectural/Engineering background, (TriBeCa),"Architectural Engineering firm seeking a CAD drafter with 
Architectural background
Structural/Civil engineering background 

Overview:
-Work with Project Manager & Design Team on all elements of drafting
-AutoCAD detailing

Skills Required:
AutoCAD a MUST
Structural software is a plus (RISA, etc.)
MS Excel, Word, Outlook
Structural knowledge is a must
Building code knowledge is a plus

Please send resume in PDF format",based on experience,full-time
https://newyork.craigslist.org/que/egr/d/east-elmhurst-structural-engineer/6897968981.html,Structural Engineer/Architect/CAD Operator, (Queens),"A reputed engineering consulting firm has immediate openings for the following positions:

Structural Engineer:

Responsibilities 

•	Perform analysis and design calculation of structural systems for all types of buildings and materials using various building codes. 
•	Manage project design and deliverables as well as other design team members.
•	Develops, modifies and reviews models, plans, details and drawings of structural engineering systems and components according to established standards.  
•	Utilizes knowledge and experience in applying modeling principles for complete and accurate drawings.
•	Performs work in accordance with agreed upon budget and schedule with little supervision.
•	Communicate with clients to understand project requirements. 
•	Plan and formulate engineering program and organize project staff according to project requirements. 

 Requirements 

•	Bachelor's degree in Structural Engineering.
•	1-3 years of professional experience working directly with clients, contractors, consultants and vendors.
•	Knowledge and expertise in structural analysis and design of steel and reinforced concrete structures.  
•	Proficiency in AutoCAD and Microsoft Office. 
•	Well-versed in New York Building Code with experience and/or knowledge of high-rise commercial, residential, and institutional buildings.
•	NY State PE License is preferred but not necessary. 

Architect:

Requirements:
•	B. Arch from an accredited program.
•	1-3 years of professional experience working directly with clients, contractors, consultants and vendors. 
•	Excellent time management and client presentation skills are a must. 
•	Proficiency in AutoCAD and Microsoft Office. 
•	Well-versed in New York Building Code with experience and/or knowledge of high-rise commercial, residential, and institutional buildings 

Responsibilities:
•	Manage projects, from start to finish including design scope, city approvals process, bidding, construction documents and construction administration.
•	All aspects of Architecture and building from schematic to detailing. 
•	Develop designs and coordinate design consultant work.
•	Source architectural products and samples.
•	Assemble construction-drawing sets in AutoCAD, including: site plans, floor plans, elevations, building sections, wall details, etc. 
•	Ensure outputs meet the required quality expectations and agreed upon deadlines.

CAD Operator: 

A CAD Operator to work alongside our Engineers, architects for the design and production of architectural, structural, and MEP drawings using AutoCAD. You will primarily work on Design and Construction Drawings in AutoCAD. The successful applicant is someone who is willing to work hard, learn on the job, and can work well with others in our highly collaborative environment. This is a hands-on position with lots of growth potential for the right candidate. 

We offer competitive salary and comprehensive benefit based on education and experience. Please forward your resume akconsultingpc@gmail.com for consideration or call at 347-925-4030.",We offer competitive salary and comprehensive benefit based on education and experience,full-time
https://newyork.craigslist.org/que/egr/d/west-babylon-construction-project/6895543137.html,Construction Project Manager, (Hauppague (office location)),"We are an entrepreneurial, growing general contractor specializing in commercial build outs in the 5 Boroughs Nassau, and Western Suffolk. Our clients include detailed oriented organizations.
We are currently looking for a construction project manager with a minimum of 4 years experience . 
Candidates must display positive character, including the ability to adapt to changing work scopes and a talent for team building and skills to problem solve. The responsibilities would include over site, budgeting, estimating, plan breakout, etc.
Prepare progress reports and scheduling review.
Must be willing to travel to job sites to manage jobs in the 5 Boroughs Nassau, and Western Suffolk
Include resume and required salary.",salary commensurate with experience and knowledge,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural/6889804436.html,Architectural Visualization Renderer, (Chelsea),"Hi there,

We are a small render-based firm in Manhattan and we are looking for a freelance artist to take on 2-3 renderings of interior, amenity spaces including - gym, playroom and lounge.

We've attached the level of rendering quality we're looking for. If you feel you're capable of achieving this quality in a tight timeline (about one month's time or so), then please reply by uploading some of your work samples/website in an email along with a description of who you are and your interests.

If we feel that you're a good fit, we'll get back to you in the next day or two as we are looking for someone right away. Even if you see this post too late, send your work along anyway as we will keep you in mind for our next round of images.

Ideally, this project would be the first of a few we do together. We would love to hire someone full-time if the fit works for both of us. But for now, you can be based anywhere as long as you stay on top of communication. 

Qualifications:
3ds Max
Vray
Photoshop
After Effects (HUGE plus)

Also, all files, textures and models must be submitted at the end of the project.

As far as payment, please let us know what your requirements are per rendering or as a packaged amount for three. 

Thank you and good luck!",In description,contract
https://newyork.craigslist.org/wch/egr/d/new-rochelle-land-surveyor-assistant/6898965545.html,Land Surveyor Assistant/Helper ASAP, (New Rochelle),"Looking for Land Survey assistant ASAP. 

The ideal candidate must be able to work outdoors for 8 hours a day. 
-Working under the direction of experienced land surveyor
-Assisting will all field duties (Holding steel tape, level rod instrument, carrying tool pouch etc.)
-Making sure all survey equipment is ready for daily use
-High School Diploma recommended but not required.
-No experience needed (Will train) 

For inquiries please email: bigapplelscorp@gmail.com - looking to fill position ASAP",Based on experience,full-time
https://newyork.craigslist.org/que/egr/d/jamaica-hvac-drafter/6887646103.html,HVAC DRAFTER, (RICHMOND HILL),"SKETCHER
HVAC Mechanical Firm seeking a skilled mechanical sketcher/draftsman who can draft sheet metal shop drawing, piping including hydronic piping and refrigeration, risers, control wiring diagram, for commercial NYC Projects. Create and/or modify existing engineering designs and comments, as built drawings. 
Ensure drawings and designs meet project deadlines
-Accurate and complete drawings
-Meet project schedule
Qualifications:
-AutoCAD 2015/Mechanical design experience
-Experience in mechanical design either in design or installation/construction.
 
Please send your resume to schedule an interview",good salary,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-architect/6889738660.html,Junior Architect, (Upper West Side),"Small Architectural / Interior Design firm located in the Upper West Side, specializing in residential and commercial projects, seeks talented Junior Architect. Work will consist of assisting in all phases of schematic design, development, preparation of DOB drawings and applications, construction documents, construction site visits, archiving and general office activities.  Candidates must be highly motivated, quick learners, with a passion for architecture and desire to learn and grow. Excellent AutoCAD drafting abilities and 3D rendering are a must. Candidates must be responsible, organized, punctual, reliable, have good communication skills, and be team-players, capable of multi-tasking and focused on producing accurate results.  
 Please reply ONLY if you:
1. Previous working experience in an Architectural firm is a plus 
2. send pdf work samples of similar work ONLY   
3. send a cover letter and your resume  
4. indicate your availability You reply must include response to all 4 requirements

Please send email to career@43hundred.com",starting 35K,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6887745012.html,Architect,,"Established mid-sized NYC architectural firm is seeking Architects to join our dynamic, multi-disciplinary team. Applicants should be highly motivated and demonstrate design sensibility and technical skills. Successful candidates will work closely with senior staff and principals on projects of various types.

Skills & Qualifications:

- Capable of developing a full set of construction documents, with clear supervisor instructions
- Strong knowledge in AutoCAD, Revit, and SketchUp
- Ideally possesses good design and visualization skills with mature graphic sense
- Bachelor’s Degree in Architecture
- Knowledge of NYC regulatory environment, including building cods, DOB, and zoning is ideal
- 4 years minimum experience required! This is NOT an internship or entry-level position for recent graduates. Prior experience is a must!


Responsibilities:

- Preparation of as-built drawings, presentation drawings, and construction documents
- Join seniors and principals in the presentation of design strategies to clients
- Work with team members in the production of contract and proposal documents
- Occasional site visits
- Perform other duties and responsibilities as required


The ideal candidate will:

- Possess excellent problem solving and decision-making skills
- Thrive in a fast-paced environment and have the ability to multi-task
- Be detail-oriented, efficient, and adaptable to changing deadlines and priorities
- Have strong organizational skills, communication skills, and project management skills
- Demonstrate enthusiastic commitment to our team-focused environment
- Have a willingness to learn and take direction from Seniors
- Have experience working on a wide range of project types
- Must be eligible to work in the United States.

Please send resume and portfolio, including examples of construction documents",Negotiable,full-time
https://newyork.craigslist.org/brk/egr/d/long-island-city-steel-detailer-position/6887798083.html,STEEL DETAILER POSITION, (BROOKLYN),"We are a construction company and our main services are fabrication and installation of metals structures and miscellaneous. We are currently seeking for an Experienced Steel Detailer.

Applicants must be:

Proficient use in AutoCAD and SDS2
Experience in steel detailing
Able to read shop drawings 
Be familiar with materials of metals fabrication

To apply, please send curriculum to christian@romaironworkers.com

Salary will be based on experience.",Compesation will be paid based on experience,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-coordinator/6887721422.html,Project Coordinator / Intermediate Architect, (Midtown West),"In our small Midtown Manhattan office environment, every team member works directly with the principal--and gains exposure to all aspects of architectural and interior design practice. Our portfolio reflects diverse projects that range from ground-up development and corporate interiors to brownstones, restaurants, and places of worship. 

We're looking to hire a technically adept Intermediate Architect capable of assuming some project management responsibilities. The role will require the following skill set and characteristics:

4 -- 6 years of experience and strong technical skills (design and drawing).
Proficiency in Revit design and production. 
Strong written and oral communication skills.
Self-motivated, dedicated, detail-oriented, adaptable, and efficient.
Site survey and construction documentation experience.
Some flexibility to put in extra hours when needed.
Knowledge of New York City zoning codes, building codes, and DOB permit application process desirable.
Bachelor's degree in Architecture.",Commensurate with experience and criteria indicated.,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-summer/6887880324.html,Architectural summer Intern, (SoHo),"We are a small boutique architecture firm designing mostly high end residential projects located on the East End of Long Island.
We are currently seeking an Architectural Student Intern to join our team for 3-4 months. 
Can start immediately. 

Responsibilities

Prepares and modifies architectural documents, elevations, sections, details by CAD or 3D software etc. 
Prepares 2D and 3D presentation/design drawings.
Builds digital models project team review.

Requirements:
CAD,  Rhino or 3dmax drafting skills. CAD is must.
Software such as 3D Studio Max or Rhino and Photoshop are big plus.
Ability to effectively meet deadlines.

Required Experience
Currently enrolled in an architecture or related design degree program.
Previous internship with an architectural or interior design firm is a plus.

Salary is based on portfolio , Interview and skills.",Tbd based on experience,full-time
https://newyork.craigslist.org/mnh/egr/d/new-york-city-healthcare-architect/6888092085.html,HealthCare Architect, (Midtown West),"SBLM is seeking a HealthCare Architect to run, direct and manage our HealthCare & and Wellness Studio.
Must have a minimum of 5 - 10 years experience exclusively in HealthCare.

Requirements
•	Minimum of 5 - ten years experience in HealthCare 
•	College Degree, specialized training and work experience
•	Knowledge of codes and industry standard guidelines
•	Strong written and verbal skills
•	Demonstrated leadership skills including self-direction

Compensation and Benefits:
We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment.
Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan and much more…

Company Culture: 
> Learning and growth opportunities 
> Rewarding projects
> Free educational ongoing learning",Competitive Salary - DOE,full-time
